Exceedence,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0.1,8.6,13.1,5.8,8.1,8.4,7.3,7.1,6.4,5.6,5.6,5.7,6.7
1,8.6,13.1,5.8,8.1,8.4,7.3,7.1,6.4,5.6,5.6,5.7,6.7
5,8.6,13.1,5.8,8.1,8.4,7.3,7.1,6.4,5.6,5.6,5.7,6.7
10,8.6,13.1,5.8,8.1,8.4,7.3,7.1,6.4,5.6,5.6,5.7,6.7
15,5.9,5.5,5.6,5.8,6,5.3,5.1,4.6,4.1,4.1,4.2,5
20,5.9,5.5,5.6,5.8,6,5.3,5.1,4.6,4.1,4.1,4.2,5
30,4.5,4.5,5.1,4.8,4.7,4.2,4,3.6,3.2,3.2,3.2,3.8
40,3.7,3.7,4.3,4.4,4,3.4,3.3,2.9,2.5,2.4,2.4,2.9
50,2.6,2.7,3.3,3.2,3,2.7,2.5,2.2,1.8,1.7,1.8,2.1
60,1.8,1.8,2.2,2.1,2.1,1.9,1.7,1.5,1.3,1.3,1.3,1.6
70,1.2,1.2,1.3,1.4,1.4,1.2,1.2,1.1,0.9,0.9,0.9,1.1
80,0.8,0.7,0.7,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.8
85,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
90,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
95,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
99,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
99.9,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
